Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Accuracy_std,Precision_std,Recall_std,F1_std,ROC-AUC_std,PR-AUC_std
Logistic Regression,0.7492027593337125,0.5178394863030773,0.8020066889632107,0.6291605578869637,0.8454978255467646,0.6583126292781625,0.01447483193430782,0.017924768737273118,0.034067776797984846,0.021380888238540553,0.012290661888379123,0.01883144594377188
Decision Tree,0.7344694492207262,0.49980349999413126,0.7879598662207359,0.6114890370254235,0.8286797512874298,0.6151519272952377,0.004562901334853385,0.005430346569697212,0.02638539521513847,0.009693699106612538,0.012620928225334031,0.026912546092891065
Random Forest,0.7531091361558138,0.523455570236513,0.7899665551839465,0.6295409109059669,0.8482003642593311,0.6632768134020096,0.012735374703194595,0.016615221849640597,0.012224526342807393,0.01396009605139887,0.010255544541975671,0.020353945894675783
SVM,0.7957068625581362,0.6151763869762208,0.6140468227424749,0.6143557313827118,0.8304359001124361,0.6125254734414197,0.010127652363732755,0.01852189587568586,0.03294611466494918,0.02345715565336834,0.00981873041299819,0.02823870055638557
XGBoost,0.7609173192792446,0.53646069399528,0.7304347826086957,0.618502948391685,0.8348002992487464,0.6476419761016251,0.007559368864012026,0.01086340611577653,0.018023001451916376,0.01147035863080503,0.009012233476258985,0.014050229325956912
